player,nationality,position,squad,age,value,height,foot,league,minutes,goals,assists,cards_yellow,cards_red,assists_per90,xg_per90,xa_per90,shots_total,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,npxg_per_shot,xg_net,passes,passes_pct,passes_pct_short,passes_pct_medium,passes_pct_long,xa_net,passes_into_final_third,passes_into_penalty_area,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribbles_vs,dribble_tackles_pct,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,interceptions,clearances,errors,touches_def_3rd,touches_att_3rd,touches_att_pen_area,dribbles,dribbles_completed_pct,nutmegs,carry_distance,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,goalsm,cards_yellowm,cards_redm,assists_per90m,goals_assists_per90m,xg_per90m,xa_per90m,minutes_90sm,shots_on_target_pctm,shots_total_per90m,shots_on_target_per90m,xg_netm,passes_pctm,passes_pct_shortm,passes_pct_mediumm,passes_pct_longm,xa_netm,crosses_into_penalty_aream,passes_free_kicksm,passes_pressurem,crossesm,passes_lowm,passes_highm,passes_left_footm,passes_right_footm,passes_headm,passes_other_bodym,passes_offsidesm,passes_oobm,passes_interceptedm,passes_blockedm,sca_per90m,sca_passes_deadm,sca_dribblesm,gca_passes_deadm,gca_dribblesm,gca_shotsm,tackles_def_3rdm,tackles_mid_3rdm,tackles_att_3rdm,dribbles_vsm,dribble_tackles_pctm,pressure_regain_pctm,pressures_def_3rdm,pressures_mid_3rdm,pressures_att_3rdm,blocksm,blocked_shotsm,interceptionsm,clearancesm,errorsm,touches_def_3rdm,touches_att_3rdm,touches_att_pen_aream,dribblesm,dribbles_completed_pctm,nutmegsm,carry_distancem,passes_received_pctm,miscontrolsm,dispossessedm,cards_yellow_redm,foulsm,fouledm,offsidesm,pens_wonm,pens_concededm,own_goalsm,ball_recoveriesm,aerials_wonm,aerials_lostm,aerials_won_pctm,D,Pts,CL,WinCL,CLBestScorer,passes_progressive_ratio,pens_converted,gca/sca_summarym,tackles_pct,crosses_pen_pct,past_over_vs_dribbles,carry_progressive_distance_pct,games_started_pct,act_vs_exp_goals,act_vs_exp_assists
Borja Bastón,es ESP,FW,Alavés,25.0,2000000.0,186.0,1,La Liga,1439.0,5.0,1.0,4.0,0.0,0.06,0.35,0.07,34.0,0.0,29.4,2.13,0.63,0.17,-0.7,321.0,64.8,72.8,63.9,36.4,-0.1,11.0,4.0,17.0,0.0,1.0,83.0,2.0,1.0,0.0,0.0,0.0,0.0,76.0,73.0,26.0,211.0,37.0,1.0,10.0,0.0,10.0,7.0,21.0,16.0,1.0,0.0,1.0,2.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,28.0,7.1,15.6,35.0,248.0,158.0,18.0,5.0,0.0,1.0,8.0,0.0,56.0,212.0,60.0,17.0,35.3,0.0,1258.0,49.5,52.0,19.0,0.0,41.0,13.0,12.0,0.0,0.0,0.0,74.0,45.0,84.0,34.9,0.003474635,0.002779708,0.0,4.17e-05,0.000264072,0.000243224,4.86e-05,0.011118833,0.020430855,0.001480195,0.000437804,-0.000486449,0.045031272,0.050590688,0.044405837,0.025295344,-6.95e-05,0.000694927,0.0,0.057678944,0.000694927,0.052814454,0.050729673,0.018068103,0.146629604,0.0257123,0.00694927,0.0,0.00694927,0.004864489,0.014593468,0.000694927,0.0,0.000694927,0.0,0.0,0.0,0.000694927,0.008339124,0.001389854,0.019457957,0.004933982,0.010840862,0.024322446,0.172341904,0.109798471,0.012508687,0.003474635,0.000694927,0.005559416,0.0,0.038915914,0.147324531,0.041695622,0.01181376,0.024530924,0.0,0.874218207,0.034398888,0.036136206,0.013203614,0.0,0.028492008,0.009034051,0.008339124,0.0,0.0,0.0,0.0514246,0.031271716,0.058373871,0.024252953,11.0,50.0,0.0,0.0,0,0.1720351390922401,0.0,0.0028122828437499997,0.5806451612903226,0.6666666666666666,0.9285714285714286,0.5135135135135135,0.6666666666666666,0.8064516129032258,0.625
Burgui,es ESP,MF,Alavés,24.0,1500000.0,184.0,1,La Liga,555.0,1.0,0.0,1.0,0.0,0.0,0.15,0.1,8.0,0.0,25.0,1.3,0.32,0.12,0.1,212.0,78.8,86.7,79.2,62.9,-0.6,17.0,7.0,23.0,11.0,1.0,47.0,2.0,5.0,7.0,0.0,0.0,0.0,33.0,36.0,22.0,171.0,11.0,3.0,2.0,1.0,4.0,8.0,7.0,24.0,3.89,3.0,2.0,0.0,3.0,2.0,0.32,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,4.0,25.0,24.8,25.0,54.0,22.0,5.0,1.0,0.0,0.0,0.0,1.0,40.0,108.0,9.0,14.0,50.0,0.0,1204.0,75.6,8.0,3.0,0.0,10.0,20.0,3.0,0.0,0.0,0.0,44.0,3.0,3.0,50.0,0.001801802,0.001801802,0.0,0.0,0.000288288,0.00027027,0.00018018,0.011171171,0.045045045,0.002342342,0.000576577,0.00018018,0.141981982,0.156216216,0.142702703,0.113333333,-0.001081081,0.003603604,0.01981982,0.084684685,0.009009009,0.059459459,0.064864865,0.03963964,0.308108108,0.01981982,0.003603604,0.001801802,0.007207207,0.014414414,0.012612613,0.007009009,0.005405405,0.003603604,0.0,0.0,0.0,0.007207207,0.003603604,0.001801802,0.007207207,0.045045045,0.044684685,0.045045045,0.097297297,0.03963964,0.009009009,0.001801802,0.0,0.0,0.001801802,0.072072072,0.194594595,0.016216216,0.025225225,0.09009009,0.0,2.169369369,0.136216216,0.014414414,0.005405405,0.0,0.018018018,0.036036036,0.005405405,0.0,0.0,0.0,0.079279279,0.005405405,0.005405405,0.09009009,11.0,50.0,0.0,0.0,0,0.32798634812286687,0.0,0.0104448199375,0.6666666666666666,0.36363636363636365,0.75,0.6187707641196013,0.3125,0.7142857142857143,0.0
Jonathan Calleri,ar ARG,FW,Alavés,24.0,9000000.0,181.0,1,La Liga,2869.0,9.0,2.0,6.0,0.0,0.06,0.23,0.07,73.0,0.0,23.3,2.29,0.53,0.08,1.8,740.0,61.8,71.4,54.8,52.1,-0.1,36.0,19.0,24.0,0.0,1.0,230.0,19.0,32.0,0.0,0.0,0.0,0.0,204.0,198.0,63.0,450.0,82.0,2.0,26.0,5.0,20.0,23.0,40.0,67.0,2.1,0.0,9.0,6.0,9.0,5.0,0.16,0.0,1.0,1.0,2.0,0.0,7.0,11.0,6.0,30.0,16.7,18.5,46.0,307.0,279.0,38.0,7.0,0.0,8.0,51.0,0.0,128.0,575.0,158.0,87.0,56.3,2.0,4787.0,54.7,111.0,66.0,0.0,70.0,70.0,15.0,2.0,0.0,0.0,167.0,156.0,189.0,45.2,0.003136982,0.002091321,0.0,2.09e-05,0.000121994,8.02e-05,2.44e-05,0.011118857,0.008121297,0.000798188,0.000184733,0.000627396,0.021540606,0.02488672,0.019100732,0.018159638,-3.49e-05,0.002439875,0.0,0.080167306,0.011153712,0.071104915,0.069013594,0.021958871,0.156849076,0.028581387,0.009062391,0.001742768,0.00697107,0.008016731,0.01394214,0.000731962,0.0,0.003136982,0.0,0.000348554,0.000348554,0.002439875,0.003834089,0.002091321,0.010456605,0.005820843,0.00644824,0.016033461,0.107005925,0.097246427,0.013245033,0.002439875,0.002788428,0.017776229,0.0,0.044614848,0.200418264,0.055071453,0.030324155,0.019623562,0.000697107,1.668525619,0.019065877,0.038689439,0.023004531,0.0,0.024398745,0.024398745,0.005228303,0.000697107,0.0,0.0,0.058208435,0.054374346,0.065876612,0.015754618,11.0,50.0,0.0,0.0,0,0.23574978076585792,1.0,0.005571410140625,0.7755102040816326,0.2153846153846154,0.8333333333333334,0.5019845414664716,0.9705882352941176,1.1688311688311688,0.7692307692307692
Rubén Duarte,es ESP,DF,Alavés,22.0,5000000.0,172.0,0,La Liga,2772.0,0.0,0.0,10.0,1.0,0.0,0.02,0.05,22.0,0.0,31.8,0.71,0.23,0.03,-0.6,1231.0,68.8,85.7,74.6,41.6,-1.4,95.0,21.0,255.0,29.0,2.0,180.0,37.0,55.0,8.0,0.0,0.0,0.0,257.0,472.0,738.0,153.0,95.0,218.0,3.0,3.0,33.0,23.0,29.0,44.0,1.43,2.0,0.0,4.0,7.0,2.0,0.06,0.0,0.0,1.0,0.0,0.0,38.0,23.0,11.0,68.0,45.6,32.8,209.0,114.0,34.0,90.0,11.0,0.0,34.0,135.0,1.0,583.0,317.0,21.0,15.0,60.0,1.0,4086.0,89.2,11.0,3.0,0.0,35.0,61.0,1.0,0.0,0.0,0.0,321.0,41.0,33.0,55.4,0.0,0.003607504,0.00036075,0.0,0.0,7.22e-06,1.8e-05,0.011111111,0.011471861,0.000256133,8.3e-05,-0.00021645,0.024819625,0.030916306,0.026911977,0.015007215,-0.000505051,0.003968254,0.01046176,0.064935065,0.01984127,0.092712843,0.17027417,0.266233766,0.055194805,0.034271284,0.001082251,0.001082251,0.011904762,0.008297258,0.01046176,0.000515873,0.000721501,0.0,0.0,0.0,0.00036075,0.013708514,0.008297258,0.003968254,0.024531025,0.016450216,0.011832612,0.075396825,0.041125541,0.012265512,0.032467532,0.003968254,0.012265512,0.048701299,0.00036075,0.21031746,0.114357864,0.007575758,0.005411255,0.021645022,0.00036075,1.474025974,0.032178932,0.003968254,0.001082251,0.0,0.012626263,0.022005772,0.00036075,0.0,0.0,0.0,0.115800866,0.014790765,0.011904762,0.01998557,11.0,50.0,0.0,0.0,0,0.4971027000369868,0.0,0.0036920544375,0.5517241379310345,0.1981981981981982,0.5441176470588235,0.5320606950562897,1.0,0.0,0.0
Rodrigo Ely,br BRA,DF,Alavés,24.0,2000000.0,188.0,1,La Liga,430.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,3.0,0.0,33.3,0.63,0.21,0.02,-0.1,135.0,74.1,88.5,82.1,63.3,0.0,8.0,0.0,10.0,10.0,0.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,20.0,52.0,18.0,92.0,16.0,0.0,0.0,0.0,7.0,0.0,2.0,1.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,8.0,37.5,38.7,21.0,10.0,0.0,16.0,8.0,0.0,4.0,50.0,0.0,124.0,11.0,9.0,0.0,0.0,0.0,358.0,93.5,3.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,44.0,24.0,6.0,80.0,0.0,0.002325581,0.0,0.0,0.0,2.33e-05,0.0,0.011162791,0.07744186,0.001465116,0.000488372,-0.000232558,0.172325581,0.205813953,0.190930233,0.147209302,0.0,0.0,0.023255814,0.055813953,0.0,0.046511628,0.120930233,0.041860465,0.213953488,0.037209302,0.0,0.0,0.01627907,0.0,0.004651163,0.000488372,0.0,0.0,0.0,0.0,0.0,0.009302326,0.004651163,0.0,0.018604651,0.087209302,0.09,0.048837209,0.023255814,0.0,0.037209302,0.018604651,0.009302326,0.11627907,0.0,0.288372093,0.025581395,0.020930233,0.0,0.0,0.0,0.83255814,0.21744186,0.006976744,0.0,0.0,0.01627907,0.004651163,0.0,0.0,0.002325581,0.0,0.102325581,0.055813953,0.013953488,0.186046512,11.0,50.0,0.0,0.0,0,0.3749528479818936,0.0,0.000545058046875,0.6153846153846154,0.0,0.625,0.5223463687150838,1.0,0.0,0.0
Manu García,es ESP,MF,Alavés,32.0,2000000.0,183.0,0,La Liga,2330.0,2.0,1.0,6.0,0.0,0.04,0.08,0.03,28.0,0.0,17.9,1.08,0.19,0.08,-0.1,951.0,75.5,79.9,78.7,64.1,0.3,77.0,6.0,19.0,13.0,0.0,186.0,26.0,13.0,0.0,0.0,0.0,0.0,131.0,220.0,508.0,260.0,123.0,5.0,6.0,4.0,36.0,12.0,29.0,31.0,1.2,0.0,0.0,3.0,3.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,34.0,39.0,13.0,89.0,31.5,22.0,182.0,326.0,82.0,38.0,4.0,0.0,20.0,74.0,0.0,324.0,208.0,45.0,19.0,68.4,2.0,2818.0,82.8,22.0,26.0,0.0,62.0,53.0,4.0,0.0,1.0,1.0,311.0,73.0,54.0,57.5,0.000858369,0.002575107,0.0,1.72e-05,5.15e-05,3.43e-05,1.29e-05,0.01111588,0.007682403,0.000463519,8.15e-05,-4.29e-05,0.032403433,0.034291845,0.033776824,0.02751073,0.000128755,0.000858369,0.005579399,0.079828326,0.005579399,0.056223176,0.094420601,0.218025751,0.111587983,0.0527897,0.002575107,0.001716738,0.015450644,0.005150215,0.012446352,0.000515021,0.0,0.0,0.0,0.0,0.0,0.014592275,0.016738197,0.005579399,0.038197425,0.013519313,0.00944206,0.078111588,0.139914163,0.035193133,0.016309013,0.001716738,0.008583691,0.031759657,0.0,0.139055794,0.089270386,0.019313305,0.008154506,0.029356223,0.000858369,1.20944206,0.035536481,0.00944206,0.011158798,0.0,0.026609442,0.022746781,0.001716738,0.0,0.000429185,0.000429185,0.133476395,0.031330472,0.023175966,0.024678112,11.0,50.0,0.0,0.0,0,0.2815640703517588,0.0,0.0030646461875,0.5202312138728323,0.14814814814814814,0.6853932584269663,0.4552874378992193,0.7352941176470589,0.7692307692307692,0.8333333333333334
Ibai Gómez,es ESP,MF,Alavés,28.0,4000000.0,178.0,1,La Liga,580.0,0.0,2.0,0.0,0.0,0.31,0.07,0.17,8.0,0.0,37.5,1.24,0.47,0.05,-0.4,292.0,69.2,89.8,74.3,38.6,0.9,18.0,12.0,40.0,16.0,0.0,65.0,13.0,33.0,19.0,6.0,5.0,0.0,50.0,93.0,39.0,232.0,12.0,3.0,1.0,0.0,7.0,5.0,15.0,19.0,2.95,6.0,0.0,0.0,0.0,2.0,0.31,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,8.0,37.5,20.8,21.0,46.0,29.0,10.0,1.0,0.0,3.0,7.0,0.0,49.0,193.0,21.0,21.0,52.4,0.0,1206.0,80.3,12.0,17.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,39.0,7.0,7.0,50.0,0.0,0.0,0.0,0.000534483,0.000534483,0.00012069,0.000293103,0.011034483,0.064655172,0.002137931,0.000810345,-0.000689655,0.119310345,0.154827586,0.128103448,0.066551724,0.001551724,0.015517241,0.027586207,0.112068966,0.056896552,0.086206897,0.160344828,0.067241379,0.4,0.020689655,0.001724138,0.0,0.012068966,0.00862069,0.025862069,0.005086207,0.010344828,0.0,0.0,0.0,0.0,0.005172414,0.001724138,0.003448276,0.013793103,0.064655172,0.035862069,0.036206897,0.079310345,0.05,0.017241379,0.001724138,0.005172414,0.012068966,0.0,0.084482759,0.332758621,0.036206897,0.036206897,0.090344828,0.0,2.079310345,0.138448276,0.020689655,0.029310345,0.0,0.006896552,0.005172414,0.0,0.0,0.0,0.0,0.067241379,0.012068966,0.012068966,0.086206897,11.0,50.0,0.0,0.0,0,0.39501039501039503,0.0,0.008054956984375,0.46153846153846156,0.26865671641791045,0.625,0.412106135986733,0.9444444444444444,0.0,1.25
John Guidetti,se SWE,FW,Alavés,26.0,3000000.0,185.0,1,La Liga,631.0,2.0,1.0,2.0,0.0,0.14,0.26,0.09,10.0,0.0,50.0,1.43,0.71,0.18,0.2,158.0,67.7,79.3,54.0,44.4,0.4,5.0,5.0,7.0,0.0,0.0,33.0,0.0,9.0,0.0,0.0,0.0,0.0,39.0,35.0,19.0,104.0,23.0,1.0,5.0,1.0,4.0,4.0,5.0,14.0,2.0,0.0,1.0,0.0,0.0,2.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0,23.6,6.0,83.0,51.0,8.0,2.0,0.0,1.0,6.0,0.0,22.0,113.0,25.0,8.0,37.5,0.0,500.0,50.9,25.0,3.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,25.0,10.0,22.0,31.3,0.003169572,0.003169572,0.0,0.00022187,0.000681458,0.000412044,0.000142631,0.011093502,0.079239303,0.002266244,0.001125198,0.000316957,0.107290016,0.125673534,0.085578447,0.070364501,0.000633914,0.004754358,0.0,0.05229794,0.014263074,0.061806656,0.055467512,0.030110935,0.16481775,0.036450079,0.00792393,0.001584786,0.006339144,0.006339144,0.00792393,0.003169572,0.0,0.001584786,0.0,0.0,0.0,0.0,0.003169572,0.001584786,0.014263074,0.0,0.037400951,0.009508716,0.131537242,0.080824089,0.012678288,0.003169572,0.001584786,0.009508716,0.0,0.034865293,0.179080824,0.039619651,0.012678288,0.059429477,0.0,0.792393027,0.08066561,0.039619651,0.004754358,0.0,0.020602219,0.006339144,0.0,0.0,0.0,0.0,0.039619651,0.015847861,0.034865293,0.049603803,11.0,50.0,0.0,0.0,0,0.2361308677098151,0.0,0.006289619671875,0.5714285714285714,0.3157894736842105,1.0,0.424,0.2727272727272727,0.8695652173913044,0.9090909090909091
Takashi Inui,jp JPN,MF,Alavés,30.0,4000000.0,169.0,1,La Liga,828.0,2.0,0.0,0.0,0.0,0.0,0.17,0.04,16.0,0.0,31.3,1.74,0.54,0.1,0.4,133.0,82.0,90.5,83.3,69.2,-0.2,5.0,6.0,22.0,3.0,1.0,72.0,4.0,15.0,2.0,1.0,1.0,0.0,53.0,33.0,21.0,212.0,10.0,8.0,2.0,0.0,8.0,5.0,13.0,15.0,3.58,0.0,4.0,0.0,2.0,1.0,0.24,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,18.0,11.1,22.3,45.0,107.0,45.0,7.0,1.0,0.0,8.0,5.0,0.0,52.0,147.0,20.0,16.0,68.8,0.0,1887.0,74.4,16.0,20.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,60.0,4.0,5.0,44.4,0.002415459,0.0,0.0,0.0,0.0002657,0.000205314,4.83e-05,0.011111111,0.037801932,0.002101449,0.000652174,0.000483092,0.099033816,0.109299517,0.100603865,0.083574879,-0.000241546,0.001207729,0.003623188,0.086956522,0.018115942,0.064009662,0.039855072,0.025362319,0.256038647,0.012077295,0.002415459,0.0,0.009661836,0.006038647,0.015700483,0.004323671,0.0,0.004830918,0.0,0.0,0.0,0.006038647,0.006038647,0.002415459,0.02173913,0.013405797,0.026932367,0.054347826,0.129227053,0.054347826,0.008454106,0.001207729,0.009661836,0.006038647,0.0,0.062801932,0.177536232,0.024154589,0.019323671,0.083091787,0.0,2.278985507,0.089855072,0.019323671,0.024154589,0.0,0.008454106,0.019323671,0.0,0.0,0.0,0.0,0.072463768,0.004830918,0.006038647,0.053623188,11.0,50.0,0.0,0.0,0,0.18363939899833054,0.0,0.0040383452499999995,0.48,0.06451612903225806,0.8888888888888888,0.6311605723370429,0.8333333333333334,0.9523809523809523,0.0
Jony,es ESP,MF,Alavés,27.0,10000000.0,179.0,0,La Liga,2971.0,4.0,11.0,3.0,0.0,0.33,0.13,0.22,50.0,8.0,46.0,1.51,0.7,0.09,-0.4,1183.0,55.5,73.7,63.5,38.3,3.8,46.0,60.0,303.0,88.0,3.0,169.0,110.0,192.0,90.0,22.0,20.0,5.0,179.0,498.0,873.0,139.0,42.0,117.0,7.0,7.0,62.0,22.0,73.0,128.0,3.88,46.0,11.0,5.0,1.0,16.0,0.48,6.0,1.0,1.0,0.0,0.0,9.0,10.0,8.0,46.0,15.2,20.0,152.0,221.0,118.0,42.0,0.0,0.0,24.0,7.0,1.0,208.0,874.0,84.0,136.0,45.6,5.0,8687.0,73.5,97.0,73.0,0.0,34.0,31.0,13.0,0.0,0.0,0.0,228.0,6.0,28.0,17.6,0.001346348,0.001009761,0.0,0.000111074,0.000151464,4.38e-05,7.4e-05,0.011107371,0.015483002,0.000508246,0.000235611,-0.000134635,0.018680579,0.024806462,0.021373275,0.012891282,0.001279031,0.011780545,0.029619657,0.056883204,0.064624705,0.060249074,0.16762033,0.293840458,0.046785594,0.014136654,0.002356109,0.002356109,0.020868394,0.007404914,0.024570852,0.001305958,0.015483002,0.003702457,0.002019522,0.000336587,0.000336587,0.003029283,0.00336587,0.002692696,0.015483002,0.005116123,0.00673174,0.051161225,0.074385729,0.039717267,0.014136654,0.0,0.008078088,0.002356109,0.000336587,0.070010098,0.294177045,0.028273309,0.045775833,0.015348368,0.001682935,2.923931336,0.024739145,0.03264894,0.024570852,0.0,0.011443958,0.010434197,0.004375631,0.0,0.0,0.0,0.076741838,0.002019522,0.009424436,0.005923931,11.0,50.0,0.0,0.0,0,0.44723189538767677,0.0,0.009787319000000001,0.43636363636363634,0.18181818181818182,0.8478260869565217,0.6681247841602395,0.9444444444444444,0.8163265306122448,1.4285714285714286
